Date,HDFCBANK.NS,ICICIBANK.NS,SBIN.NS,AXISBANK.NS,KOTAKBANK.NS
2024-11-14,1017447.4693130947,1014617.7767557963,1079483.1485216422,929901.2374479503,848368.1009000976
2024-11-18,1017447.4693130947,1013107.6929926231,1080427.9311131812,929901.2374479503,848368.1009000976
2024-11-19,1017447.4693130947,1011230.8851347592,1074062.4532481423,929901.2374479503,848368.1009000976
2024-11-21,1013368.5133609937,1011856.5228657419,1061528.6447970176,929901.2374479503,848368.1009000976
2024-11-22,1014902.4065773671,1023721.4667192448,1081413.7362722585,929901.2374479503,848368.1009000976
2024-11-25,1028846.8129899405,1033601.6869214011,1097411.9594638597,929901.2374479503,848368.1009000976
2024-11-26,1028829.4080148956,1035327.4969364561,1094567.2143098107,929901.2374479503,848368.1009000976
2024-11-27,1038154.7298033041,1033493.82379546,1091581.6054651667,929901.2374479503,848368.1009000976
2024-11-28,1031478.8367222943,1027302.4908999588,1094257.3623255193,929901.2374479503,848368.1009000976
2024-11-29,1032489.8146981961,1033234.9628267102,1094313.7146781883,929901.2374479503,848368.1009000976
2024-12-02,1035505.2585409542,1035198.092785852,1092877.2626085356,929901.2374479503,848368.1009000976
2024-12-03,1043035.2720477048,1036816.0396749661,1102763.4731845646,929901.2374479503,848368.1009000976
2024-12-04,1054818.2699333588,1040116.6618622672,1106002.5472786755,929901.2374479503,848368.1009000976
2024-12-05,1056787.925850125,1048939.844497219,1109241.6213727864,929901.2374479503,848368.1009000976
2024-12-06,1053336.676752023,1045596.08759305,1108227.6572284524,929901.2374479503,848368.1009000976
2024-12-09,1058269.5190314609,1042813.2400107905,1105073.060090112,918901.9779093418,848368.1009000976
2024-12-10,1057607.1512158734,1046329.5357824315,1110396.41482556,914383.6189146527,848368.1009000976
2024-12-11,1055864.1004143017,1045056.7719633452,1107072.8293935233,911371.3604335093,848368.1009000976
2024-12-12,1054521.9598080819,1045811.8138449318,1102622.643876125,910618.3101767364,848368.1009000976
2024-12-13,1058879.586812011,1052564.0560623428,1107044.6704082664,902254.8406783015,848368.1009000976
2024-12-16,1056596.1732399715,1053081.7779998425,1106706.6938208735,902254.8406783015,848368.1009000976
2024-12-17,1045458.095639909,1047753.3501118687,1100848.180836924,902254.8406783015,848368.1009000976
2024-12-18,1037596.9195028401,1039296.8915716077,1093863.0677676126,902254.8406783015,848368.1009000976
2024-12-19,1029092.3072388323,1028465.9265186046,1090391.3934072454,902254.8406783015,848368.1009000976
2024-12-20,1029092.3072388323,1028465.9265186046,1090391.3934072454,902254.8406783015,848368.1009000976
2024-12-23,1029092.3072388323,1028465.9265186046,1090391.3934072454,902254.8406783015,848368.1009000976
2024-12-24,1029092.3072388323,1028465.9265186046,1090391.3934072454,902254.8406783015,848368.1009000976
2024-12-26,1029092.3072388323,1028465.9265186046,1090391.3934072454,902254.8406783015,848368.1009000976
2024-12-27,1029092.3072388323,1028465.9265186046,1090391.3934072454,902254.8406783015,848368.1009000976
2024-12-30,1029092.3072388323,1028465.9265186046,1090391.3934072454,902254.8406783015,848368.1009000976
2024-12-31,1029092.3072388323,1028465.9265186046,1090391.3934072454,902254.8406783015,848368.1009000976
